"id","business_name","market","website","contact_email","phone","source_url","priority","status","why_fit","next_action"
"1","Absolute Salon Mobil","Tangerang Selatan / Jabodetabek","https://absolutesalonmobil.com/","","081211622131","https://absolutesalonmobil.com/","1","to_verify","Salon mobil panggilan dengan detailing, interior, body polish, ceramic coating 10H, harga paket terlihat.","Verifikasi WhatsApp dan personalisasi pada paket Full Detailing + Coating."
"2","BBE Auto Detailing","Serpong / Jabodetabek","https://bbeautodetailing.com/","","0812-8651-4393","https://bbeautodetailing.com/","1","to_verify","Home service auto detailing dengan positioning rawat mobil tanpa keluar rumah dan booking jelas.","Verifikasi form/order path dan pitch asisten balas WhatsApp cepat."
"3","Polespanggilan.com","Jabodetabek / Indonesia","https://www.polespanggilan.com/","","081310997019","https://www.polespanggilan.com/","1","to_verify","Poles dan coating mobil panggilan dengan paket nano ceramic dan daftar harga terlihat.","Cek area layanan aktif dan tawarkan sistem quote untuk paket coating."
"4","Auto Detailing Panggilan","Jabodetabek","https://autodetailingpanggilan.com/","","","https://autodetailingpanggilan.com/","1","to_verify","Auto detailing panggilan dengan layanan full detailing, interior, exterior, engine protection, dan paket nano coating.","Cari nomor WA/contact form lalu personalisasi pada paket coating dan booking rumah."
"5","JKT Car Detailing","Jakarta / Jabodetabek","https://jktcardetailing.com/","","","https://jktcardetailing.com/","1","to_verify","Salon poles panggilan dengan exterior detailing, interior detailing, nanocoating, dan layanan home service.","Verifikasi nomor WhatsApp lalu pitch triase lead dari chat dan form."
"6","Bintang Salon Mobil","Jabodetabek","https://bintangsalonmobil.com/","","0818810059","https://bintangsalonmobil.com/","1","to_verify","Poles mobil panggilan Jabodetabek dengan full detailing, coating premium, harga paket, dan Instagram.","Gunakan WhatsApp first; personalisasi pada harga full detailing/coating."
"7","Autonetcare","Jakarta / Depok / Tangerang / Bekasi","https://autonetcare.com/","","0878-0952-6372","https://autonetcare.com/","1","to_verify","Paket auto detailing dan paint protection bisa dikerjakan home service dengan syarat garasi/carport.","Cek kontak admin dan pitch form kualifikasi lokasi, mobil, dan paket."
"8","Mobiklin","Jakarta / Bandung / Surabaya","https://mobiklin.id/","","","https://mobiklin.id/","2","to_verify","Cuci mobil di rumah berlangganan dengan layanan detailing, fogging, dan cuci interior.","Verifikasi apakah keputusan vendor cepat; pitch follow-up untuk pelanggan subscription."
"9","Aulia Detailing","Bintaro / Ciputat / BSD","https://bintaro.co.id/directory-listing/aulia-detailing/","rismaulia362@gmail.com","087744000300","https://bintaro.co.id/directory-listing/aulia-detailing/","1","to_verify","Spesialis perawatan mobil panggilan yang melayani cuci, polish, wax, dan nano ceramic coating.","Verifikasi akun aktif dan hubungi via WhatsApp atau email dengan angle fast response."
"10","Coco Auto Detailing","Cibubur / Kota Wisata","https://www.cocoautodetailing.web.id/","","0813-8096-5099","https://www.cocoautodetailing.web.id/","1","to_verify","Auto detailing, nano ceramic, PPF, dan salon mobil panggilan dengan pricing premium terlihat.","Pitch asisten quote untuk memilah PPF, coating, glass coating, dan interior."
"11","Omega Auto Detailing","Bogor / Jabodetabek","https://www.omega-autodetailing.com/about-us/","markautodetailingbogor@gmail.com","+6287779197943","https://www.omega-autodetailing.com/about-us/","1","to_verify","Workshop nano ceramic dan PPF Bogor yang menyebut home service dan antar-jemput kendaraan.","Email/WA dengan personalisasi pada home service dan lead summary untuk coating/PPF."
"12","Rafli Auto Car","Jakarta Selatan","https://www.rafliautocar.com/","","081549631963","https://www.rafliautocar.com/","1","to_verify","Salon mobil panggilan Jakarta dengan layanan poles, interior, plafon, dashboard, dan 10+ tahun pengalaman.","Verifikasi nomor dan tawarkan alur quote untuk beberapa jenis layanan."
"13","Makmur Auto Detailing","Jabodetabek","https://muriabisnis.com/produk/10542/salon-poles-mobil-panggilan-terbaik-jabodetabek-makmur-auto-detailing","","0857-7931-7398","https://muriabisnis.com/produk/10542/salon-poles-mobil-panggilan-terbaik-jabodetabek-makmur-auto-detailing","2","to_verify","Listing aktif untuk salon mobil panggilan Jabodetabek dengan full detailing, interior, exterior, mesin, kaca, dan harga.","Verifikasi kanal utama selain listing lalu kirim pesan WhatsApp singkat."
"14","Raysautocare Indonesia","Jawa Barat / DKI / Banten","https://raysautocareindonesia.wordpress.com/","","081313566210","https://raysautocareindonesia.wordpress.com/","2","to_verify","Salon mobil panggilan untuk Jabar, DKI, dan Banten dengan paket salon body plus coating.","Cek apakah masih aktif dan pitch otomasi follow-up untuk permintaan coating."
"15","SalonPoles.com","Jabodetabek","https://salonpoles.com/","","081291657572","https://salonpoles.com/","1","to_verify","Jasa poles dan coating mobil panggilan dengan form cek harga dan daftar area Jakarta, Bogor, Depok, Tangerang, Bekasi.","Pitch optimasi form cek harga menjadi lead assistant."
"16","SalonMobil.my.id","Jabodetabek / Indonesia","https://salonmobil.my.id/","","","https://salonmobil.my.id/","2","to_verify","Salon poles dan coating mobil panggilan dengan pricing full detailing, exterior, interior, dan nano coating.","Verifikasi nomor aktif dari tombol WhatsApp dan personalisasi pada form harga."
"17","Impreza Salon Mobil","Jakarta dan sekitar","https://www.polesmobilpanggilan.com/","","081298817799","https://www.polesmobilpanggilan.com/","1","to_verify","Jasa salon mobil panggilan yang mengerjakan auto detailing di tempat pelanggan dengan appointment flow.","Verifikasi owner/contact name dan pitch asisten appointment via WhatsApp."
"18","3S Salon Mobil","Bekasi / Jabodetabek","https://jasapolespanggilan.com/","","","https://jasapolespanggilan.com/","2","to_verify","Salon mobil panggilan full interior dan exterior dengan exterior detailing dan area Summarecon Bekasi.","Cari nomor kontak valid lalu pitch sistem quote untuk paket full/interior/exterior."
"19","DSC Salon Mobil","Jabodetabek","https://dscsalonmobil.com/","info@dscsalonmobil.com","0857-1899-5984","https://dscsalonmobil.com/","1","to_verify","Salon panggilan mobil dengan auto detailing di tempat pelanggan, plus plafon, dashboard, retrim setir.","Gunakan email/WhatsApp dan personalisasi pada banyak kategori layanan."
"20","AMS Auto Service","Jabodetabek","https://www.amsautoservice.com/","","","https://www.amsautoservice.com/","2","to_verify","Menerima panggilan se-Jabodetabek untuk salon mobil, auto detailing, poles, chrome, nano ceramic, interior, exterior.","Cari kontak utama dan pitch lead routing untuk salon versus service."
"21","Salon Mobil Carwax","BSD / Tangerang Selatan","https://www.saloncarwax.com/full-service-auto-detailing","Carwaxbsd@gmail.com","087783101423","https://www.saloncarwax.com/full-service-auto-detailing","1","to_verify","Salon mobil panggilan dengan full service auto detailing, paint protection, interior cleaning, fogging, dan flood-damaged car.","Pitch form kualifikasi kondisi mobil dan ringkasan lead ke admin."
"22","Sabusa Detailing Indonesia","Indonesia","https://sabusaindonesia.com/","","","https://sabusaindonesia.com/","2","to_verify","Brand detailing yang menawarkan jasa salon mobil panggilan dan produk perawatan kendaraan.","Verifikasi area jasa aktif dan cari nomor WhatsApp sebelum outreach."
"23","Yugi Auto Detailing","Rawalumbu / Bekasi","https://yugiautodetailing.web.id/","","","https://yugiautodetailing.web.id/","1","to_verify","Layanan detailing mobil panggilan berbasis Bekasi dengan produk premium dan positioning datang ke lokasi.","Cari nomor kontak aktif dan personalisasi pada layanan panggilan Bekasi."
"24","Tukang Salon Mobil Bogor","Bogor","https://www.tukangbogor.net/tukang-salon-mobil-bogor/","","081234595101","https://www.tukangbogor.net/tukang-salon-mobil-bogor/","2","to_verify","Salon mobil panggilan Bogor dengan nano ceramic coating, interior, eksterior, mesin, dan garansi.","Verifikasi kualitas prospek; pitch alur pertanyaan paket dan lokasi."
"25","Salon Mobil Panggilan Bogor","Bogor / Gunung Putri","https://id.worldorgs.com/katalog/bogor/bengkel-perawatan-bodi-mobil/salon-mobil-panggilan-bogor","","0838-7148-2227","https://id.worldorgs.com/katalog/bogor/bengkel-perawatan-bodi-mobil/salon-mobil-panggilan-bogor","3","to_verify","Listing lokal dengan ulasan tentang salon panggilan, detailing rapi, ruang mesin, dan coating.","Cek Google Business/Profile aktif sebelum outreach WhatsApp."
"26","FR Auto Sports","Bandung / Cimahi","https://www.frautosports.web.id/","","","https://www.frautosports.web.id/","2","to_verify","Salon mobil panggilan Bandung dengan nano coating ceramics, poles lampu, detailing, dan layanan salon mobil.","Cari nomor kontak terbaru dan pitch quote assistant untuk Bandung/Cimahi."
"27","Tukang Salon Mobil Bandung","Bandung","https://www.tukangbandung.com/tukang-salon-mobil-bandung/","","082124242247","https://www.tukangbandung.com/tukang-salon-mobil-bandung/","2","to_verify","Salon mobil panggilan Bandung dengan interior, eksterior, mesin, nano ceramic coating, dan polish.","Verifikasi brand/owner dan gunakan WhatsApp first."
"28","Auto Bray","Bandung / Cimahi","https://muriabisnis.com/produk/11494/salon-mobil-panggilan-bandung-bersih-kinclong-auto-bray","","0895-0929-5790","https://muriabisnis.com/produk/11494/salon-mobil-panggilan-bandung-bersih-kinclong-auto-bray","2","to_verify","Salon mobil panggilan Bandung dengan layanan detailing, cuci, poles, dan coating mobil.","Cari kanal resmi/Instagram lalu pitch asisten booking via WhatsApp."
"29","Tukang Salon Mobil Jogja","Yogyakarta","https://www.tukangjogja.com/tukang-salon-mobil-jogja/","","081334335400","https://www.tukangjogja.com/tukang-salon-mobil-jogja/","2","to_verify","Salon mobil panggilan Jogja dengan nano ceramic coating, interior, eksterior, mesin, dan garansi.","Verifikasi kontak dan personalisasi pada layanan panggilan area Jogja."
"30","Polezza Auto Detailing","Yogyakarta","https://polezza.indonetwork.co.id/","","0816689971","https://polezza.indonetwork.co.id/","3","to_verify","Profil bisnis menyebut salon mobil panggilan di wilayah Yogyakarta dengan mesin polisher dan bahan wax impor.","Cek apakah bisnis masih aktif sebelum outreach."
"31","Devo Auto Detailing Jogja","Yogyakarta","https://www.autos1000.com/ID/Yogyakarta-City/103058841394599/Devo-Auto-Detailing-Jogja","","0819-9797-3945","https://www.autos1000.com/ID/Yogyakarta-City/103058841394599/Devo-Auto-Detailing-Jogja","2","to_verify","Halaman bisnis aktif menampilkan jasa salon mobil panggilan, promo coating, dan WhatsApp.","Cek kanal asli/Facebook/Instagram lalu pitch demo Bahasa Indonesia."
"32","Quicklin","Surabaya","https://quicklin.id/","support@quicklin.id","0878-0878-0133","https://quicklin.id/","1","to_verify","Cuci mobil Surabaya dengan layanan panggilan, detailing, coating, booking via handphone, dan tim profesional.","Pitch asisten booking yang menanyakan lokasi, jenis mobil, dan layanan."
"33","SunClink","Surabaya","https://sunclink.com/","","081233330662","https://sunclink.com/","1","to_verify","Salon mobil panggilan Surabaya dengan exterior detailing, coating pelindung, interior detailing, engine bay, dan layanan 24 jam.","Verifikasi WhatsApp dan personalisasi pada layanan 24 jam/panggilan."
