"id","business_name","market","website","contact_email","phone","source_url","priority","status","why_fit","next_action"
"1","DD Auto Detailing","Miami, FL","https://ddautodetailing.com/","","305-301-7679","https://ddautodetailing.com/","1","to_verify","Mobile and shop detailer with quote CTA, ceramic/PPF services, and visible phone.","Verify contact form and personalize around quote requests."
"2","On-The-Go Shine Miami","Miami, FL","https://www.onthegoshinemiami.com/","onthegomiami305@gmail.com","305-563-8060","https://www.onthegoshinemiami.com/","1","to_verify","Mobile car wash/detailing with booking form and clear local service area.","Verify owner/contact name and use email first."
"3","Xtreme Pro Detailers LLC","Miami, FL","https://www.xtremeprodetailersllc.com/","xtremeprodetailersllc@yahoo.com","786-768-9740","https://www.xtremeprodetailersllc.com/","1","to_verify","Mobile detailing, paint correction, ceramic coating, clear photo-for-quote workflow.","Pitch faster photo quote handling and lead summaries."
"4","Flash Detailing","Los Angeles, CA","https://flashxdetailing.com/","","424-400-9244","https://flashxdetailing.com/","1","to_verify","100% mobile LA service with visible phone and convenience positioning.","Verify current booking/contact flow."
"5","DG Detailing","Los Angeles, CA","https://www.dgautodetailing.com/","","310-855-4277","https://www.dgautodetailing.com/","1","to_verify","Premium mobile detailing with quote CTA and package pricing.","Personalize around quote form and maintenance plans."
"6","Pioneer Mobile Detailing","Los Angeles / Orange County, CA","https://pioneermobiledetail.com/","","562-965-0813","https://pioneermobiledetail.com/","1","to_verify","Mobile service across LA/OC with package pricing and text/call booking.","Verify best contact method and pitch SMS quote assistant."
"7","Castillo Auto Detailing","Los Angeles, CA","https://www.castilloautodetail.com/","Castilloautodetailing323@gmail.com","323-801-6463","https://www.castilloautodetail.com/","1","to_verify","Mobile detailing with visible email, phone, and higher-ticket complete detail packages.","Email first with specific mention of interior/complete detail quotes."
"8","Noir Detail Co.","Los Angeles, CA","https://noirdetailco.com/","","","https://noirdetailco.com/","2","to_verify","Text-first mobile detailing brand that already values fast replies.","Find contact route and pitch AI-assisted text/quote triage."
"9","Redefined Detail","Austin, TX","https://www.redefineddetail.com/","","512-920-7852","https://www.redefineddetail.com/","1","to_verify","Mobile and aircraft detailing with premium package pricing.","Pitch quote assistant for vehicle and aircraft detail inquiries."
"10","High Quality Detail","Austin, TX","https://www.highqualitydetail.com/","","512-825-7828","https://www.highqualitydetail.com/","1","to_verify","Premium mobile detailing with 150 reviews, quote CTA, and visible phone.","Verify contact form and pitch lead dashboard."
